                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.00059,                0.13636,                0.00037,                  7e-05,                    nan,                    nan,                    nan,                0.00012,                0.00012,                0.00012
                      2,                    nan,                    nan,                    nan,                0.00039,                0.09091,                0.00024,                  9e-05,                    nan,                    nan,                    nan,             0.00025743,             0.00025743,             0.00025743
                      3,                    nan,                    nan,                    nan,                0.00039,                0.09091,                0.00023,                 0.0001,                    nan,                    nan,                    nan,             0.00039208,             0.00039208,             0.00039208
                      4,                    nan,                    nan,                    nan,                0.00059,                0.13636,                0.00035,                0.00012,                    nan,                    nan,                    nan,             0.00052396,             0.00052396,             0.00052396
                      5,                    nan,                    nan,                    nan,                0.00059,                0.13636,                0.00037,                0.00012,                    nan,                    nan,                    nan,             0.00065307,             0.00065307,             0.00065307
                      6,                    nan,                    nan,                    nan,                0.00059,                0.13636,                0.00037,                0.00011,                    nan,                    nan,                    nan,             0.00077941,             0.00077941,             0.00077941
                      7,                    nan,                    nan,                    nan,                0.00039,                0.09091,                0.00024,                  9e-05,                    nan,                    nan,                    nan,             0.00090298,             0.00090298,             0.00090298
                      8,                    nan,                    nan,                    nan,                0.00078,                0.18182,                0.00057,                0.00014,                    nan,                    nan,                    nan,              0.0010238,              0.0010238,              0.0010238
                      9,                    nan,                    nan,                    nan,                0.00059,                0.13636,                0.00038,                  9e-05,                    nan,                    nan,                    nan,              0.0011418,              0.0011418,              0.0011418
                     10,                    nan,                    nan,                    nan,                0.00078,                0.18182,                0.00087,                0.00012,                    nan,                    nan,                    nan,               0.001257,               0.001257,               0.001257
                     11,                    nan,                    nan,                    nan,                0.00059,                0.13636,                0.00095,                0.00013,                    nan,                    nan,                    nan,              0.0013695,              0.0013695,              0.0013695
                     12,                    nan,                    nan,                    nan,                0.00059,                0.13636,                0.00132,                0.00028,                    nan,                    nan,                    nan,              0.0014792,              0.0014792,              0.0014792
                     13,                    nan,                    nan,                    nan,                0.00059,                0.13636,                0.00174,                0.00036,                    nan,                    nan,                    nan,              0.0015862,              0.0015862,              0.0015862
                     14,                    nan,                    nan,                    nan,                0.00059,                0.13636,                0.00212,                0.00062,                    nan,                    nan,                    nan,              0.0016903,              0.0016903,              0.0016903
                     15,                    nan,                    nan,                    nan,                0.00059,                0.13636,                0.00187,                0.00038,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                     16,                    nan,                    nan,                    nan,                0.00059,                0.13636,                0.00224,                0.00026,                    nan,                    nan,                    nan,              0.0017228,              0.0017228,              0.0017228
                     17,                    nan,                    nan,                    nan,                0.00059,                0.13636,                0.00042,                  9e-05,                    nan,                    nan,                    nan,               0.001703,               0.001703,               0.001703
                     18,                    nan,                    nan,                    nan,                0.00078,                0.18182,                0.00088,                0.00014,                    nan,                    nan,                    nan,              0.0016832,              0.0016832,              0.0016832
                     19,                    nan,                    nan,                    nan,                0.00059,                0.13636,                0.00041,                  9e-05,                    nan,                    nan,                    nan,              0.0016634,              0.0016634,              0.0016634
                     20,                    nan,                    nan,                    nan,                0.00078,                0.18182,                0.00086,                0.00012,                    nan,                    nan,                    nan,              0.0016436,              0.0016436,              0.0016436
                     21,                    nan,                    nan,                    nan,                0.00078,                0.18182,                0.00086,                0.00012,                    nan,                    nan,                    nan,              0.0016238,              0.0016238,              0.0016238
                     22,                    nan,                    nan,                    nan,                0.00078,                0.18182,                0.00087,                0.00018,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                     23,                    nan,                    nan,                    nan,                0.00039,                0.09091,                0.00024,                  6e-05,                    nan,                    nan,                    nan,              0.0015842,              0.0015842,              0.0015842
                     24,                    nan,                    nan,                    nan,                0.00078,                0.18182,                0.00102,                0.00014,                    nan,                    nan,                    nan,              0.0015644,              0.0015644,              0.0015644
                     25,                    nan,                    nan,                    nan,                0.00059,                0.13636,                0.00075,                0.00012,                    nan,                    nan,                    nan,              0.0015446,              0.0015446,              0.0015446
                     26,                    nan,                    nan,                    nan,                0.00059,                0.13636,                0.00039,                  9e-05,                    nan,                    nan,                    nan,              0.0015248,              0.0015248,              0.0015248
                     27,                    nan,                    nan,                    nan,                0.00078,                0.18182,                 0.0009,                0.00014,                    nan,                    nan,                    nan,               0.001505,               0.001505,               0.001505
                     28,                    nan,                    nan,                    nan,                0.00039,                0.09091,                0.00024,                  6e-05,                    nan,                    nan,                    nan,              0.0014852,              0.0014852,              0.0014852
                     29,                    nan,                    nan,                    nan,                0.00059,                0.13636,                0.00036,                  6e-05,                    nan,                    nan,                    nan,              0.0014654,              0.0014654,              0.0014654
                     30,                    nan,                    nan,                    nan,                0.00039,                0.09091,                0.00024,                  5e-05,                    nan,                    nan,                    nan,              0.0014456,              0.0014456,              0.0014456
                     31,                    nan,                    nan,                    nan,                0.00078,                0.18182,                0.00091,                0.00011,                    nan,                    nan,                    nan,              0.0014258,              0.0014258,              0.0014258
                     32,                    nan,                    nan,                    nan,                0.00059,                0.13636,                0.00039,                  6e-05,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     33,                    nan,                    nan,                    nan,                0.00059,                0.13636,                0.00035,                  7e-05,                    nan,                    nan,                    nan,              0.0013862,              0.0013862,              0.0013862
                     34,                    nan,                    nan,                    nan,                0.00059,                0.13636,                0.00035,                  7e-05,                    nan,                    nan,                    nan,              0.0013664,              0.0013664,              0.0013664
                     35,                    nan,                    nan,                    nan,                0.00059,                0.13636,                0.00039,                  7e-05,                    nan,                    nan,                    nan,              0.0013466,              0.0013466,              0.0013466
                     36,                    nan,                    nan,                    nan,                0.00039,                0.09091,                0.00024,                  7e-05,                    nan,                    nan,                    nan,              0.0013268,              0.0013268,              0.0013268
                     37,                    nan,                    nan,                    nan,                0.00039,                0.09091,                0.00025,                  7e-05,                    nan,                    nan,                    nan,               0.001307,               0.001307,               0.001307
                     38,                    nan,                    nan,                    nan,                0.00039,                0.09091,                0.00025,                  7e-05,                    nan,                    nan,                    nan,              0.0012872,              0.0012872,              0.0012872
                     39,                    nan,                    nan,                    nan,                0.00078,                0.18182,                0.00091,                0.00012,                    nan,                    nan,                    nan,              0.0012674,              0.0012674,              0.0012674
