                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5519,                 4.7636,                 1.0617,                0.00084,                0.05556,                 0.0014,                0.00019,                 1.7026,                 4.0293,                 1.2132,                      0,                      0,                      0
                      2,                 2.0037,                 4.3729,                 1.1959,                0.00085,                0.05556,                0.00114,                0.00017,                 1.6852,                 4.0417,                 1.2165,             1.6505e-05,             1.6505e-05,             1.6505e-05
                      3,                 2.1282,                 4.6718,                 1.3818,                0.00085,                0.05556,                0.00121,                0.00017,                 1.6989,                 4.0443,                 1.2248,              3.268e-05,              3.268e-05,              3.268e-05
                      4,                 2.1818,                 4.6058,                 1.3916,                0.00167,                0.11111,                0.00144,                0.00048,                   1.72,                 4.0378,                 1.2286,             4.8525e-05,             4.8525e-05,             4.8525e-05
                      5,                 1.8631,                 4.6893,                 1.2043,                0.00169,                0.11111,                0.00181,                0.00052,                 1.7281,                 4.0445,                 1.2378,             6.4039e-05,             6.4039e-05,             6.4039e-05
                      6,                 2.0715,                 4.6201,                 1.3198,                0.00166,                0.11111,                0.00151,                0.00043,                 1.5734,                 4.0116,                 1.1901,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      7,                 1.7052,                 4.2787,                 1.3111,                0.00314,                0.22222,                0.00269,                0.00158,                 1.3329,                 3.9509,                 1.1216,             9.4079e-05,             9.4079e-05,             9.4079e-05
                      8,                 1.9265,                 4.8178,                 1.1923,                0.00491,                0.83333,                0.00503,                0.00244,                 1.1895,                 3.9334,                 1.0732,              0.0001086,              0.0001086,              0.0001086
                      9,                 1.4363,                 4.7011,                 1.0219,                0.00538,                0.88889,                 0.0071,                0.00336,                 1.1133,                 3.9065,                 1.0295,              0.0001228,              0.0001228,              0.0001228
                     10,                  1.228,                 3.9768,                 1.0719,                0.00573,                0.94444,                0.00752,                0.00385,                 1.0007,                 3.8769,                 1.0095,             0.00013666,             0.00013666,             0.00013666
                     11,                    1.4,                 4.0405,                  1.209,                0.00466,                0.44444,                0.00648,                0.00363,                0.92441,                 3.8657,                 1.0067,              0.0001502,              0.0001502,              0.0001502
                     12,                 1.4805,                  4.158,                 1.1455,                0.00424,                0.44444,                 0.0089,                 0.0044,                0.91388,                 3.8367,                0.99353,              0.0001634,              0.0001634,              0.0001634
                     13,                 1.3002,                 3.1824,                 1.0572,                0.00448,                    0.5,                0.01704,                 0.0078,                0.87805,                 3.7952,                0.96406,             0.00017628,             0.00017628,             0.00017628
                     14,                 1.3034,                 3.4743,                 1.0547,                0.00422,                    0.5,                0.02057,                0.00965,                0.87444,                 3.7347,                0.95498,             0.00018882,             0.00018882,             0.00018882
                     15,                 1.2536,                 2.8202,                   1.03,                0.00405,                    0.5,                0.02048,                0.01141,                 0.8919,                 3.6493,                0.94029,             0.00020103,             0.00020103,             0.00020103
                     16,                 1.3136,                 2.2201,                  1.063,                0.00393,                    0.5,                0.00694,                0.00466,                 0.9323,                  3.578,                0.93188,             0.00021292,             0.00021292,             0.00021292
                     17,                0.93791,                 2.0883,                0.94701,                0.00388,                    0.5,                0.00714,                0.00481,                0.97947,                 3.5041,                0.94483,             0.00022447,             0.00022447,             0.00022447
                     18,                 1.3073,                 2.3329,                 1.0376,                0.00381,                    0.5,                0.03546,                0.02735,                0.96119,                 3.4561,                0.93735,              0.0002357,              0.0002357,              0.0002357
                     19,                 1.1748,                 2.1969,                0.99414,                0.00369,                    0.5,                0.01351,                0.00993,                0.89433,                 3.4241,                0.91934,             0.00024659,             0.00024659,             0.00024659
                     20,                 1.3437,                  2.203,                 1.0193,                0.00369,                    0.5,                0.01351,                0.00993,                0.89433,                 3.4241,                0.91934,             0.00025715,             0.00025715,             0.00025715
                     21,                 1.0312,                 2.1393,                 0.9178,                 0.0046,                      1,                0.00949,                0.00678,                0.80639,                 3.4074,                 0.8946,             0.00026739,             0.00026739,             0.00026739
                     22,                0.80472,                   1.93,                0.96231,                 0.0046,                      1,                0.00949,                0.00678,                0.80639,                 3.4074,                 0.8946,             0.00027729,             0.00027729,             0.00027729
                     23,                 1.2637,                 2.0073,                 1.0593,                0.00472,                      1,                0.00968,                 0.0067,                0.76827,                 3.4292,                 0.8859,             0.00028686,             0.00028686,             0.00028686
                     24,                 1.2182,                 1.8942,                0.92672,                0.00472,                      1,                0.00968,                 0.0067,                0.76827,                 3.4292,                 0.8859,             0.00029611,             0.00029611,             0.00029611
                     25,                 1.0557,                 1.6951,                0.94799,                0.00504,                      1,                0.00972,                0.00683,                0.76446,                 3.4811,                0.88805,             0.00030502,             0.00030502,             0.00030502
                     26,                 1.1129,                 1.7186,                0.96791,                0.00504,                      1,                0.00972,                0.00683,                0.76446,                 3.4811,                0.88805,              0.0003136,              0.0003136,              0.0003136
                     27,                 1.0675,                 2.1116,                0.91302,                0.00545,                      1,                0.00987,                0.00679,                 0.7968,                 3.5186,                0.89581,             0.00032186,             0.00032186,             0.00032186
                     28,                0.82029,                 1.5785,                0.91664,                0.00545,                      1,                0.00987,                0.00679,                 0.7968,                 3.5186,                0.89581,             0.00032978,             0.00032978,             0.00032978
                     29,                0.92147,                 2.0403,                0.88017,                0.00592,                      1,                0.00974,                0.00641,                0.82677,                 3.5283,                0.89961,             0.00033737,             0.00033737,             0.00033737
                     30,                 1.0649,                 1.8495,                 0.8783,                0.00592,                      1,                0.00974,                0.00641,                0.82677,                 3.5283,                0.89961,             0.00034464,             0.00034464,             0.00034464
                     31,                 1.2945,                 2.0495,                0.96327,                0.00645,                      1,                0.00931,                0.00571,                0.85378,                  3.495,                0.89872,             0.00035157,             0.00035157,             0.00035157
                     32,                 1.3179,                 1.9942,                0.99962,                0.00645,                      1,                0.00931,                0.00571,                0.85378,                  3.495,                0.89872,             0.00035817,             0.00035817,             0.00035817
                     33,                0.90426,                 1.6681,                 0.9361,                 0.0063,                    0.5,                0.03658,                0.03064,                0.87127,                 3.4446,                0.88804,             0.00036445,             0.00036445,             0.00036445
                     34,                0.87978,                 1.5979,                0.91708,                 0.0063,                    0.5,                0.03658,                0.03064,                0.87127,                 3.4446,                0.88804,             0.00037039,             0.00037039,             0.00037039
                     35,                 1.4043,                 1.5222,                0.87407,                0.00671,                    0.5,                0.06493,                0.05663,                0.82262,                 3.4051,                0.89341,               0.000376,               0.000376,               0.000376
                     36,                 1.3527,                 1.7236,                0.99821,                0.00671,                    0.5,                0.06493,                0.05663,                0.82262,                 3.4051,                0.89341,             0.00038128,             0.00038128,             0.00038128
                     37,                  1.302,                 1.7031,                0.98983,                0.00702,                    0.5,                0.10207,                0.08905,                0.83693,                 3.4016,                0.90203,             0.00038624,             0.00038624,             0.00038624
                     38,                 1.3177,                 1.9037,                 1.0389,                0.00702,                    0.5,                0.10207,                0.08905,                0.83693,                 3.4016,                0.90203,             0.00039086,             0.00039086,             0.00039086
                     39,                 1.2585,                    1.7,                0.92877,                0.00748,                      1,                0.12047,                0.09454,                0.90257,                 3.3955,                0.90656,             0.00039515,             0.00039515,             0.00039515
                     40,                 1.1806,                 1.6605,                  0.932,                0.00748,                      1,                0.12047,                0.09454,                0.90257,                 3.3955,                0.90656,             0.00039911,             0.00039911,             0.00039911
                     41,                   1.08,                 1.6215,                 0.8957,                0.00719,                    0.5,                0.11852,                0.08282,                0.99969,                 3.4072,                0.92341,             0.00040275,             0.00040275,             0.00040275
                     42,                 1.0944,                 1.6881,                0.99178,                0.00719,                    0.5,                0.11852,                0.08282,                0.99969,                 3.4072,                0.92341,             0.00040605,             0.00040605,             0.00040605
